Tid;Alnabru NO µg/m³ Month;Dekning;Alnabru NO2 µg/m³ Month;Dekning;Alnabru NOx µg/m³ Month;Dekning;Alnabru PM1 µg/m³ Month;Dekning;Alnabru PM10 µg/m³ Month;Dekning;Alnabru PM2.5 µg/m³ Month;Dekning
01.01.2007 00:00;158,5137042062;99;69,6643147897;99;311,881953867;99;;;36,2133152174;99;21,3392370572;99
01.02.2007 00:00;92,9435628743;99;53,9589820359;99;195,9688622754;99;;;25,4691729323;99;16,2781954887;99
01.03.2007 00:00;64,8188049209;76;52,0855887522;76;151,1486818981;76;;;49,4216216216;99;;32
01.04.2007 00:00;26,1078212291;99;34,5078212291;99;74,4101955307;99;;;32,1645021645;96;;0
01.05.2007 00:00;25,6420054201;99;33,3665311653;99;72,5475609756;99;;;25,3726287263;99;;0
01.06.2007 00:00;28,911814346;99;38,6969057665;99;82,8720112518;99;;;23,8286516854;99;;74
01.07.2007 00:00;28,5158322057;99;29,1331529093;99;72,7027063599;99;;;14,4505494505;98;6,8418156809;98
01.08.2007 00:00;31,3043301759;99;34,0389715832;99;81,8745602165;99;;;20,7979041916;90;9,1298701299;93
01.09.2007 00:00;45,7468443198;99;34,6695652174;99;104,5729312763;99;;;16,9088277858;96;6,1154929577;99
01.10.2007 00:00;83,0679347826;99;47,3857336957;99;174,3118206522;99;;;27,2507204611;93;12,4277539342;94
01.11.2007 00:00;131,1843441467;98;59,1662905501;98;259,6180535966;98;;;34,0855539972;99;14,6527196653;100
01.12.2007 00:00;;70;;70;;70;;;;70;;70
01.01.2008 00:00;;0;;0;;0;;;;0;;0
01.02.2008 00:00;;0;;;;0;;;;;;
01.03.2008 00:00;;0;;;;0;;;;;;
01.04.2008 00:00;;0;;;;0;;;;;;
01.05.2008 00:00;;0;;;;0;;;;;;
01.06.2008 00:00;;0;;;;0;;;;;;
01.07.2008 00:00;;0;;;;0;;;;;;
01.08.2008 00:00;;0;;;;0;;;;;;
01.09.2008 00:00;;69;;69;;69;;;;73;;73
01.10.2008 00:00;80,139348711;99;44,644504749;99;167,0972862958;99;;;26,0376850606;100;7,1752021563;100
01.11.2008 00:00;124,5016830295;99;55,4336605891;99;245,6664796634;99;;;29,5127118644;98;14,6232294618;98
01.12.2008 00:00;79,8502702703;99;48,0782432432;99;170,0863513514;99;;;23,6320754717;100;15,2382234186;100
01.01.2009 00:00;143,7795148248;100;61,5221024259;100;281,2185983827;100;;;36,8184281843;99;;63
01.02.2009 00:00;122,2732436472;100;66,1261584454;100;252,9594917788;100;;;25,5165165165;99;;0
01.03.2009 00:00;62,7044836957;99;55,8354619565;99;151,6479619565;99;;;23,9879032258;100;;0
01.04.2009 00:00;32,2850767085;100;38,4216178522;100;87,7564853556;100;;;33,8194444444;100;;0
01.05.2009 00:00;;42;;42;;42;;;;55;;0
01.06.2009 00:00;33,2483960948;100;37,3920502092;100;88,2005578801;100;;;17,3444444444;100;;0
01.07.2009 00:00;30,4124324324;99;34,642972973;99;81,115;99;;;;61;;0
01.08.2009 00:00;35,271656051;84;34,7511146497;84;88,6474522293;84;;;18,9051724138;94;;0
01.09.2009 00:00;;48;;48;;48;;;19,8291666667;100;;5
01.10.2009 00:00;117,1213225371;100;48,4697705803;100;227,4317139001;100;;;30,5;98;11,9658469945;98
01.11.2009 00:00;80,2817294282;100;43,1640167364;100;165,8348675035;100;;;20,618513324;99;9,1314685315;99
01.12.2009 00:00;111,1274324324;99;53,9875675676;99;223,7890540541;99;;;22,2756680731;96;15,8778833107;99
01.01.2010 00:00;112,5502024291;100;63,8087719298;100;235,785560054;100;;;25,906504065;99;20,8482384824;99
01.02.2010 00:00;113,1539179104;80;66,4309701493;80;239,3294776119;80;;;28,0440613027;78;20,3091603053;78
01.03.2010 00:00;110,7528936743;100;73,5034993271;100;242,736473755;100;;;27,083449235;97;15,6805555556;97
01.04.2010 00:00;39,6280334728;100;43,8076708508;100;104,3581589958;100;;;28,5200573066;97;10,944045911;97
01.05.2010 00:00;;59;;59;;59;;;;55;;55
01.06.2010 00:00;;73;;73;;73;;;;68;;68
01.07.2010 00:00;;56;;56;;56;;;17,5131348511;77;9,103875969;87
01.08.2010 00:00;;24;;24;;24;;;;65;;65
01.09.2010 00:00;;41;;41;;41;;;16,5746799431;98;7,7859195402;97
01.10.2010 00:00;;0;;0;;0;;;27,0951086957;99;11,7119565217;99
01.11.2010 00:00;;64;;64;;64;;;22,1628571429;97;11,6189111748;97
01.12.2010 00:00;151,3983827493;100;69,129245283;100;300,4650943396;100;;;29,92228739;92;24,187958884;92
01.01.2011 00:00;205,5207036536;99;86,2875507442;99;400,3242219215;99;;;34,6060606061;93;25,8078034682;93
01.02.2011 00:00;122,1919282511;100;75,8603886398;100;262,5717488789;100;;;24,496;93;19,9424920128;93
01.03.2011 00:00;69,6643243243;99;64,5635135135;99;171,0113513514;99;;;24,9656121045;98;13,3983516484;98
01.04.2011 00:00;41,3455555556;100;47,70125;100;110,8798611111;100;;;32,9734265734;99;15,8117154812;100
01.05.2011 00:00;34,7394695996;100;43,6483017811;100;96,7313860265;100;;;23,1274787535;95;11,8840381992;99
01.06.2011 00:00;39,791125201;100;44,1719054683;100;104,9727447755;100;;;18,1563517915;85;10,0792880259;86
01.07.2011 00:00;34,6960708857;100;34,3565925888;100;87,3721889022;100;;;;61;7,6833558863;99
01.08.2011 00:00;49,7524238816;99;42,7185607009;99;118,7402643919;99;;;18,6559139785;100;8,5027100271;99
01.09.2011 00:00;61,7669656534;100;43,3948030016;100;137,77472652;100;;;19,6293706294;99;8,2251748252;99
01.10.2011 00:00;87,2008812774;100;51,9988361119;100;185,2417827037;100;;;23,5778688525;98;10,2558139535;98
